"행정구역별(1)",행정구역별(2),2019. 09,2019. 09,2019. 10,2019. 10,2019. 11,2019. 11
"행정구역별(1)",행정구역별(2),필지 (필지),면적 (천㎡),필지 (필지),면적 (천㎡),필지 (필지),면적 (천㎡)
"경기도",가평군,421,442,523,663,623,869
"경기도",양평군,1042,1001,1443,1312,1140,1041
"강원도",소계,5230,14280,5781,11933,6118,14874
"강원도",춘천시,562,732,825,823,705,651
"강원도",원주시,934,1976,672,1095,727,994
"강원도",강릉시,324,642,401,339,745,1349
"강원도",동해시,195,283,225,174,224,95
"강원도",태백시,96,266,109,138,77,559
"강원도",속초시,80,58,89,51,95,53
"강원도",삼척시,201,797,233,745,259,775
"강원도",홍천군,548,3011,530,1788,600,2711
"강원도",횡성군,380,440,466,1217,482,1341
"강원도",영월군,264,532,313,836,239,1267
"강원도",평창군,455,744,462,673,548,1577
"강원도",정선군,298,923,256,933,349,1074
"강원도",철원군,146,583,349,879,235,614
"강원도",화천군,173,1227,131,382,184,438
"강원도",양구군,68,137,163,333,88,262
"강원도",인제군,168,1290,153,732,145,279
"강원도",고성군,134,342,190,411,167,276
"강원도",양양군,204,296,214,384,249,558
"충청북도",소계,3612,6677,4155,8816,4431,8840
"충청북도",청주시,910,1713,918,1161,917,1374
"충청북도",청주시 상당구,310,758,254,456,244,497
"충청북도",청주시 서원구,105,282,210,175,199,145
"충청북도",청주시 흥덕구,251,259,177,231,213,417
"충청북도",청주시 청원구,244,414,277,299,261,314
"충청북도",충주시,589,926,623,1534,572,1342
"충청북도",제천시,301,697,380,823,527,567
"충청북도",보은군,199,341,225,574,227,432
"충청북도",옥천군,241,641,280,873,207,531
"충청북도",영동군,206,302,324,581,330,650
"충청북도",증평군,55,46,72,912,61,304
"충청북도",진천군,290,307,254,403,407,878
"충청북도",괴산군,210,637,386,826,297,634
"충청북도",음성군,430,519,475,639,757,1581
"충청북도",단양군,181,547,218,490,129,546
"충청남도",소계,7561,11798,8940,11016,9071,11952
"충청남도",천안시,1369,1120,790,933,764,661
"충청남도",천안시 동남구,986,817,455,567,525,437
"충청남도",천안시 서북구,383,302,335,366,239,224
"충청남도",공주시,418,1046,538,1430,531,962
"충청남도",보령시,473,423,544,656,449,704
"충청남도",아산시,812,679,888,837,1088,844
"충청남도",서산시,647,1235,928,1015,780,1184
"충청남도",논산시,490,593,418,602,472,1035
"충청남도",계룡시,25,68,41,38,40,184
"충청남도",당진시,1061,1596,1068,1298,1102,936
"충청남도",금산군,310,1851,294,536,401,523
"충청남도",부여군,339,725,1421,777,999,780
"충청남도",서천군,226,330,348,519,411,752
"충청남도",청양군,131,440,200,395,250,577
"충청남도",홍성군,299,338,463,639,628,802
"충청남도",예산군,383,716,494,733,403,555
"충청남도",태안군,578,640,505,608,753,1454
"전라북도",소계,4805,8266,6429,11604,6564,12970
"전라북도",전주시,276,249,348,487,303,711
"전라북도",전주시 완산구,130,132,131,149,105,81
"전라북도",전주시 덕진구,146,117,217,338,198,629
"전라북도",군산시,413,476,466,726,460,796
"전라북도",익산시,577,606,932,2362,819,955
"전라북도",정읍시,515,694,655,1092,633,1010
"전라북도",남원시,387,931,563,785,624,918
"전라북도",김제시,596,757,807,935,773,1018
"전라북도",완주군,393,604,489,818,695,2341
"전라북도",진안군,259,1209,228,730,270,1087
"전라북도",무주군,132,300,236,449,246,683
"전라북도",장수군,209,365,234,584,246,575
"전라북도",임실군,156,282,239,734,259,439
"전라북도",순창군,220,624,243,601,277,688
"전라북도",고창군,332,723,539,808,434,935
"전라북도",부안군,340,447,450,494,525,815
"전라남도",소계,7511,15498,9663,20968,10175,19918
"전라남도",목포시,106,87,99,133,128,66
"전라남도",여수시,454,534,649,859,571,894
"전라남도",순천시,542,1125,635,1087,749,1379
"전라남도",나주시,436,741,505,737,634,1233
"전라남도",광양시,327,851,412,590,501,776
"전라남도",담양군,314,651,473,1006,559,1354
"전라남도",곡성군,222,542,267,653,262,542
"전라남도",구례군,143,414,243,430,184,342
"전라남도",고흥군,556,1526,705,1356,717,1474
"전라남도",보성군,313,789,340,3386,419,749
"전라남도",화순군,349,1170,458,1248,517,1393
"전라남도",장흥군,261,780,283,897,381,882
"전라남도",강진군,301,607,278,598,338,637
"전라남도",해남군,572,796,718,1309,702,1477
"전라남도",영암군,405,1054,398,747,536,1146
"전라남도",무안군,434,660,620,1040,612,820
"전라남도",함평군,287,618,464,653,452,724
"전라남도",영광군,304,677,439,958,397,954
"전라남도",장성군,349,478,420,439,374,559
"전라남도",완도군,239,356,300,581,259,444
"전라남도",진도군,244,428,357,619,332,665
"전라남도",신안군,353,617,600,1640,551,1409
"경상북도",소계,6505,16070,8998,25291,8660,23311
"경상북도",포항시,558,626,656,1603,693,944
"경상북도",포항시 남구,246,217,294,384,247,245
"경상북도",포항시 북구,312,409,362,1218,446,700
"경상북도",경주시,527,1170,762,1552,721,1223
"경상북도",김천시,373,1013,456,723,707,2586
"경상북도",안동시,355,1494,467,2144,471,1194
"경상북도",구미시,315,1189,371,578,299,582
"경상북도",영주시,242,539,291,837,344,447
"경상북도",영천시,563,804,719,1857,663,1058
"경상북도",상주시,361,950,623,2608,655,1389
"경상북도",문경시,232,550,277,690,316,913
"경상북도",경산시,376,374,470,434,464,532
"경상북도",군위군,199,469,168,701,176,1298
"경상북도",의성군,378,975,492,1214,490,1121
"경상북도",청송군,184,1297,237,1135,176,1331
"경상북도",영양군,116,222,247,985,200,856
"경상북도",영덕군,166,714,248,569,255,527
"경상북도",청도군,294,1203,407,1150,348,1146
"경상북도",고령군,126,243,389,887,241,869
"경상북도",성주군,270,397,444,1022,296,392
"경상북도",칠곡군,242,370,244,555,309,1293
"경상북도",예천군,208,390,366,942,308,1643
"경상북도",봉화군,175,532,314,1845,255,1546
"경상북도",울진군,218,527,317,1193,230,370
"경상북도",울릉군,27,20,33,66,43,52
"경상남도",소계,5769,9307,6953,12798,7009,10242
